token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv
MANEKI CAT,CATMANEKI,gsxsmbcn18orkeq6jphzmn54ycs2nvkrgdp4yvllpjcs,0.00001623,2024-04-29_16-26-39,60,37,3,264.0,37,1.18,1.18,1.18,1.18,74000.0,37000.0
Solana Depot,SOLDepot,9jhrht9mehwgdi4sz7tpfz9whwfg5ejy1ya2nyenvidu,0.00001371,2024-04-29_16-26-39,60,160,50,18000.0,135,1644,1644,1644,1644,58000.0,13000.0
Pete The Turtle,PETE,c7bz2eec6r8nyqmzterysnrxasegwdzqq8czabdt2cgg,0.00004034,2024-04-29_16-26-39,180,192,194,37000.0,184,2207,2207,2207,2207,10000.0,40000.0
WhisCat,WHIS,7n6xdzu9vrzdgp5rfzkhttqw2ugqujyf5mziwow8grcs,0.00001293,2024-04-29_16-26-39,180,273,231,27000.0,263,546,546,546,546,84000.0,12000.0
Palmela Handerson,HAND,amneeepvqtwyugrqa1evhcpvsnibyphf3betnofwwt9q,0.058870,2024-04-29_16-26-39,780,456,385,58000.0,400,-36.03,368,368,368,70000.0,88000.0
🐭RAT GROK ON SOLANA,🐭RAT,7z4dqmd4nocjjuslqpby4s254gfzjw33p8ew2cxssqdg,0.0001691,2024-04-29_16-26-39,840,511,89,696.0,511,-0.20,0.26,0.26,0.26,38000.0,50000.0
Wolfie,WOLFIE,326umzsxhm372y5rea2ubvwdceyn39xeo82yrmj1l1kl,0.00008924,2024-04-29_16-26-39,1260,621,370,185000.0,502,8.03,66.61,66.61,66.61,28000.0,89000.0
Trumpwifhat,$TRUMP,gdrwibkxygkjy2vxhqrzyhpxhmnh16tetoaleve6r1cp,0.059091,2024-04-29_16-26-39,1260,140,11,13000.0,49,8.90,51.20,51.20,51.20,146000.0,90000.0
Penguin,🐧,3ezd5ujohrl2bwrn549jxmowzoz6pocfwdhuasnykqqy,0.0001348,2024-04-29_16-26-39,1380,80,17,94000.0,50,4.70,14.95,14.95,14.95,251000.0,134000.0
AstroAvocado,AVO,cf56zeqawvyny7uhmvnbrtv4x5cis5fxswsuvuymzzi3,0.001214,2024-04-29_16-26-39,1560,82,9,54000.0,43,1.60,9.68,9.68,9.68,92000.0,48000.0
AIEMP,AIEMP,8fpuwzeapbrx2cexi7bj98uv3tdrfzn8tt2dtgzkwfwl,0.074946,2024-04-29_16-26-39,1620,110,28,13000.0,110,1.05,12.06,12.06,12.06,90000.0,49000.0
APE WITH SWAG,$SWAGAPE,5glefzz7r3edtmh4nx5cxbkytj2cybc9d7xmzszejgdh,0.00007806,2024-04-29_16-26-39,1680,962,835,115000.0,873,11.59,3678,3678,3678,15000.0,78000.0
Pineapple Cat,PICA,4dhyjatcsfc7jhwgpbqydugysbaz6kkjvpvrgqmhufpz,0.0001484,2024-04-29_16-26-39,1800,463,464,84000.0,484,-9.91,-32.60,-32.60,-32.60,24000.0,14000.0
Bull Crosby,roofies,7ve9nzatap96zycvo63hi4f4cstbgudhg4mcvehx89d,0.065792,2024-04-29_16-26-39,1860,99,179,11000.0,107,-1.28,-60.76,-60.76,-60.76,10000.0,579.0
RICH MR PANDA,MR PANDA,8nrjrqfj5s3pvwtw8cbvy1gz5gpk73vi3jxwwg7gfe4c,0.056811,2024-04-29_16-26-39,1920,180,95,58000.0,176,1.76,189,189,189,68000.0,68000.0
The FrogFather,TFF,ekzubl8nad4ipffwjeyoi9zwfmdxnwjcpnmhivfpp7r1,0.00006958,2024-04-29_16-26-39,2040,482,340,122000.0,440,-0.19,30.67,30.67,30.67,25000.0,69000.0
VIBE,VIBE,3aqteevkr1e3n6fndjn61eqlsqkgfsnqkegudmpkqq9w,0.051839,2024-04-29_16-26-39,2040,375,171,126000.0,332,-21.29,80.72,80.72,80.72,55000.0,183000.0
EigenLayer,EIGEN,adsqv5mym8fzuczosk1nta15bw7parak7r6kwzkgki54,0.00005233,2024-04-29_16-26-39,2400,371,147,96000.0,195,4.93,31.93,31.93,31.93,912000.0,523000.0
Nike Elite Socks,ELITES,2t4natczf28d9tafdgxtljausdtwsk7e7fkrkdyeypxi,0.4793,2024-04-29_16-26-39,2520,750,772,424000.0,478,0.90,20982,20982,20982,33000.0,479000.0
Quack Capital / 5GddexuCGfWx1PgQ5tuHXvqqQ1t24Jwv3mPWeSxw73ys,QUACK,7phkqgrkgkl1krmuqjuoxgfych3rxnewyolbxsleopn5,0.00001207,2024-04-29_16-26-39,3060,22,6,25000.0,7,0.44,31.15,31.15,31.15,13000.0,12000.0
Dexana,DEXANA,g9mj8yjou5r4fsvtchya4vx3cw9wkjlccyxpp4h1hsud,0.0007183,2024-04-29_16-26-39,3180,34,42,69000.0,24,0.09,2.46,2.46,2.46,52000.0,718000.0
PULSR,PULSR,93dcmdn4fmmbsybhbusgwvpm6w55uzqz6s2bbbug29u7,0.01266,2024-04-29_16-26-39,3180,2,6,27000.0,5,0,-7.24,-7.24,-7.24,17000.0,12000000.0
There Is No Meme I Love You,ILY,hburtcnju7yzicxpcj3opy1kz9mszk7vzv7keeupqsmm,0.00007612,2024-04-29_16-26-39,3240,2045,1305,794000.0,1179,-1.56,43.77,43.77,43.77,27000.0,76000.0
WORK FOR YOUR BAGS,WORK,81phzuxr1d69b1xcjhdy6q5nquneaucmmzxd54rlejtc,0.053334,2024-04-29_16-26-39,3480,27,10,442.0,5,-0.14,20.95,20.95,20.95,60000.0,33000.0
Red Green Blue,RGB,aarjxoh7g8il548gsccpj746sp5s5ajjxnrn6tholmsq,0.001869,2024-04-29_16-26-39,3540,6910,6680,19000000.0,6832,-2.15,36.30,36.86,36.86,326000.0,186000.0
Bidenwifhat,BIDEN,2whprxf1snyedppxsfa987t38kao5x44e6nnsdzcw66a,0.00003868,2024-04-29_16-26-39,420,309,149,41000.0,73,13.39,483,509,509,135000.0,166000.0
Planet of the Apes,APES,ebbfykdwcjxutmcppplslwkrvqdvehge9vhxibz1o86b,0.059185,2024-04-29_16-26-39,540,716,606,99000.0,506,12.76,-29.18,570,570,51000.0,91000.0
804,804,3wcbl1yd3sma8skzldwt9ogxnbtoxrsq6nfuikvone4v,0.052028,2024-04-29_16-26-39,600,41,28,invalid value: 660,42,0,-20.66,-5.60,-5.60,13000.0,20000.0
