token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,pair_address
Tony Tony Chopper,Chopper,,0.058172,2024-05-01_19-37-40,59,28,2,1.0,28,-0.58,-0.58,-0.58,-0.58,121000.0,60000.0,3453p9czm9fhkwejzfcmsbp1gtdsnc6n58wd8rkbzvmb
The Zen Zone,ZEN,,0.001510,2024-05-01_19-37-40,420,436,306,94000.0,432,10.45,16.44,16.44,16.44,279000.0,151000.0,ix7erfst2glxag1dhzur31k1dpxqv4gdxi1sfiupa7r
SnackSwap,SNACK,,0.0004826,2024-05-01_19-37-40,600,62,10,44000.0,34,-3.86,3.43,3.43,3.43,94000.0,48000.0,azo8kjrc8bqvmb5nqtsnqbohck2hqragqxyiz1tgvbnv
Trump is a silly fat guy,FatTrump,,0.00001542,2024-05-01_19-37-40,600,67,8,45000.0,42,8.46,22.15,22.15,22.15,86000.0,47000.0,3hxclvrteyajvcmmnthgdrqgnwkkcjk6damvhicxoofu
Obuma,Obuma,,0.059873,2024-05-01_19-37-40,780,412,229,31000.0,304,54.01,1341,1341,1341,50000.0,98000.0,5ktrzequbhxejgmedtw8vdrzhwgvdtkofxqrzmsy8jgq
Brian ,BRIAN ,,0.00007895,2024-05-01_19-37-40,1140,243,101,42000.0,216,13.60,52.82,52.82,52.82,25000.0,78000.0,32ueqkfnxy2wjfh6csoj859pkttey9527ng3lomjm6mu
Lilo Twins,$LILO,,0.0001545,2024-05-01_19-37-40,1380,749,484,296000.0,552,-16.85,199,199,199,36000.0,108000.0,6am3cqveajbmuceiezmsfthnh6gygkrjby1bdvbgcwfr
No Rug Rick Token,$NRRT,,0.0001728,2024-05-01_19-37-40,1740,976,569,304000.0,684,-3.32,234,234,234,39000.0,172000.0,fuf6a5cw9algz6vbjfs5edfr45jctc4ulbhkfatdjxrt
Cough Cat,CCat,,0.00001730,2024-05-01_19-37-40,2100,198,157,26000.0,239,-11.33,-66.04,-66.04,-66.04,12000.0,17000.0,32umrcarxtkhedqb3s2alh4vx3l7f8iefp9awhydxjho
PISSING DOG,PISS,,0.079306,2024-05-01_19-37-40,2160,193,149,80000.0,170,0,-15.86,-15.86,-15.86,17000.0,931.0,31v7uwuz5tsbhpseddfrdo3dcdc16ivmzcuxvtketkvk
JCwol,JCWOL,,0.00008952,2024-05-01_19-37-40,2760,740,727,118000.0,512,40.33,1118,1118,1118,47000.0,89000.0,6vszfp9yjlvz3hka8wucrjkte5wfrjurzpxtthm61mvu
JUGZ,JUGZ,,0.00002851,2024-05-01_19-37-40,2880,377,214,59000.0,288,-8.98,-44.25,-44.25,-44.25,15000.0,28000.0,8qusuvgnac178j1qsfv2dbsxwqxizvbfjbdyza3qvpjq
Telegrem,TG,,0.0003418,2024-05-01_19-37-40,2940,1759,759,313000.0,1125,-3.18,5986,5986,5986,10000.0,42000.0,93aekl171l4fmqgvwzbtcggwjssklozkakkdghfp52l6
Four Months CZ,FOMO,,0.0001310,2024-05-01_19-37-40,3000,182,118,41000.0,82,-45.07,903,903,903,83000.0,13000.0,gwkqwu5suoead9vsriqah1sjxhnrbcmvaz8qkfspveps
AiDrop,AiDrop,,0.00002927,2024-05-01_19-37-40,3360,597,448,96000.0,481,14.17,-43.27,-43.27,-43.27,15000.0,29000.0,fmi48nltdiyjrcnkzh68ltvyrcxv9tuxtu1ccw4wf8ry
HUMPCOIN,HUMP,,0.052062,2024-05-01_19-37-40,4020,148,44,34000.0,145,-0.43,14.97,43.05,43.05,10000.0,61000.0,52m5bbxgdrtkmcldjn4veyu6qzspymzkv56slchnach6
jew bidon,bidon,,0.002364,2024-05-01_19-37-40,4020,502,337,89000.0,403,-1.51,-16.14,715,715,95000.0,23000.0,7opq5g2qf2rssv8zjiapm6gzwqkbvhszk6bvcfu7imws
Vietnam Coin,Vietnam,,0.00007870,2024-05-01_19-37-40,4080,327,679,28000.0,297,-26.91,232,722,722,50000.0,78000.0,2gfqp814nvde5o8r3fqjrq6it1jyxtgad11x9422kczu
Blue King,BLUEKING,,0.0009759,2024-05-01_19-37-40,4140,154,24,18000.0,43,-3.00,-1.75,3.38,3.38,95000.0,48000.0,8j1nwucq93anhfnqsgrh3rwwehfubo9b2uwyp15rvbpo
Mimi,MIMI,,0.00001469,2024-05-01_19-37-40,4440,730,566,146000.0,537,5.34,-76.27,-72.42,-72.42,11000.0,13000.0,dxdv9mjnwluvu8fec6ypuow1xwwvqwkucfwqhjsmczrm
SOLMATE AI,SOLMATE,,0.00001131,2024-05-01_19-37-40,4500,347,337,27000.0,316,0,-51.77,-29.82,-29.82,14000.0,11000.0,7d9s2dhyxn2dyvb3eg1ape6hgfjuuuuvt4nvnv2rteid
Bidenwifhat,BIDEN,,0.00003111,2024-05-01_19-37-40,4680,392,18,26000.0,48,8.54,180,303,303,104000.0,105000.0,eixeafztz24z9mdfzhpztvfpgqtka5hwop5aqm2rsk4j
Swrek,SWREK,,0.052293,2024-05-01_19-37-40,4920,200,217,40000.0,222,0,-93.41,-95.61,-95.61,44000.0,22000.0,aq4aulahi7dwzkb52aeafxebxb8cbbodsudm9nqg4kkw
Book Of Prison,BOP,,0.056314,2024-05-01_19-37-40,4980,751,610,65000.0,523,-1.49,-7.04,807,807,41000.0,63000.0,5pkuivwr5sfudzahjzte35pz62zufbuce69dfbrkd4sk
ANGEL,ANGEL,,0.053166,2024-05-01_19-37-40,5040,496,429,158000.0,445,0,-5.31,-94.10,-94.10,52000.0,31000.0,hszq29kyddhndtjw23r4zgkxcbxdxhtgjqbmg9uetkjp
TIM,TIM,,0.002940,2024-05-01_19-37-40,5160,2,7,263.0,9,-3.65,-5.27,-5.27,-5.27,21000.0,29000000.0,2jnvm3xkfgpiiefcajplisfabujj9msjvdrv6ppnbuyk
Unfuddables,PB&J,,0.00005264,2024-05-01_19-37-40,5880,569,436,221000.0,430,1.91,0.49,1.94,1.94,21000.0,50000.0,cpbmhdu2wehqhhgj4mzhnwmqvau5ngzocbpmydvkbjpb
Hypnotoad,TOAD,,0.062196,2024-05-01_19-37-40,6180,81,28,17000.0,76,0,5.95,10.96,10.96,28000.0,21000.0,9h2cbevzejh25gga6rxtqbmrkhzxmzvxzjmzsltbm5h3
