token_name,token_symbol,token_address,current_price_usd,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv
Pete The Turtle,PETE,c7bz2eec6r8nyqmzterysnrxasegwdzqq8czabdt2cgg,0.00003643,2024-04-29_16-24-35,60,84,33,10000.0,85,1984,1984,1984,1984,98000.0,36000.0
WhisCat,WHIS,7n6xdzu9vrzdgp5rfzkhttqw2ugqujyf5mziwow8grcs,0.00001164,2024-04-29_16-24-35,60,205,183,20000.0,203,482,482,482,482,80000.0,11000.0
Palmela Handerson,HAND,amneeepvqtwyugrqa1evhcpvsnibyphf3betnofwwt9q,0.00001690,2024-04-29_16-24-35,660,451,342,55000.0,398,-17.33,792,792,792,97000.0,16000.0
🐭RAT GROK ON SOLANA,🐭RAT,7z4dqmd4nocjjuslqpby4s254gfzjw33p8ew2cxssqdg,0.0001696,2024-04-29_16-24-35,720,458,84,695.0,458,0.71,0.53,0.53,0.53,38000.0,50000.0
Wolfie,WOLFIE,326umzsxhm372y5rea2ubvwdceyn39xeo82yrmj1l1kl,0.0001037,2024-04-29_16-24-35,1140,587,342,177000.0,484,75.53,93.69,93.69,93.69,31000.0,103000.0
Trumpwifhat,$TRUMP,gdrwibkxygkjy2vxhqrzyhpxhmnh16tetoaleve6r1cp,0.058830,2024-04-29_16-24-35,1140,130,8,12000.0,49,10.30,46.87,46.87,46.87,144000.0,87000.0
Penguin,🐧,3ezd5ujohrl2bwrn549jxmowzoz6pocfwdhuasnykqqy,0.0001313,2024-04-29_16-24-35,1260,75,16,69000.0,49,1.99,11.97,11.97,11.97,248000.0,131000.0
AstroAvocado,AVO,cf56zeqawvyny7uhmvnbrtv4x5cis5fxswsuvuymzzi3,0.001207,2024-04-29_16-24-35,1440,80,9,53000.0,42,2.55,9.04,9.04,9.04,92000.0,48000.0
AIEMP,AIEMP,8fpuwzeapbrx2cexi7bj98uv3tdrfzn8tt2dtgzkwfwl,0.074946,2024-04-29_16-24-35,1500,110,28,13000.0,110,1.05,12.06,12.06,12.06,90000.0,49000.0
APE WITH SWAG,$SWAGAPE,5glefzz7r3edtmh4nx5cxbkytj2cybc9d7xmzszejgdh,0.00006939,2024-04-29_16-24-35,1560,862,743,104000.0,789,-4.35,3258,3258,3258,14000.0,69000.0
Pineapple Cat,PICA,4dhyjatcsfc7jhwgpbqydugysbaz6kkjvpvrgqmhufpz,0.0001486,2024-04-29_16-24-35,1680,462,461,84000.0,483,-12.79,-32.50,-32.50,-32.50,24000.0,14000.0
Bull Crosby,roofies,7ve9nzatap96zycvo63hi4f4cstbgudhg4mcvehx89d,0.065865,2024-04-29_16-24-35,1740,99,176,11000.0,107,0.06,-60.27,-60.27,-60.27,10000.0,587.0
RICH MR PANDA,MR PANDA,8nrjrqfj5s3pvwtw8cbvy1gz5gpk73vi3jxwwg7gfe4c,0.056764,2024-04-29_16-24-35,1800,174,88,51000.0,169,-1.66,187,187,187,68000.0,67000.0
The FrogFather,TFF,ekzubl8nad4ipffwjeyoi9zwfmdxnwjcpnmhivfpp7r1,0.00006913,2024-04-29_16-24-35,1920,479,338,122000.0,438,-9.39,29.82,29.82,29.82,25000.0,69000.0
VIBE,VIBE,3aqteevkr1e3n6fndjn61eqlsqkgfsnqkegudmpkqq9w,0.051526,2024-04-29_16-24-35,1920,368,167,121000.0,328,-44.25,49.94,49.94,49.94,50000.0,152000.0
EigenLayer,EIGEN,adsqv5mym8fzuczosk1nta15bw7parak7r6kwzkgki54,0.00005118,2024-04-29_16-24-35,2280,344,139,88000.0,194,4.51,29.05,29.05,29.05,903000.0,511000.0
Nike Elite Socks,ELITES,2t4natczf28d9tafdgxtljausdtwsk7e7fkrkdyeypxi,0.5231,2024-04-29_16-24-35,2400,748,769,423000.0,476,2.19,22904,22904,22904,35000.0,523000.0
Quack Capital / 5GddexuCGfWx1PgQ5tuHXvqqQ1t24Jwv3mPWeSxw73ys,QUACK,7phkqgrkgkl1krmuqjuoxgfych3rxnewyolbxsleopn5,0.00001202,2024-04-29_16-24-35,2940,21,6,25000.0,6,0,30.57,30.57,30.57,13000.0,12000.0
Dexana,DEXANA,g9mj8yjou5r4fsvtchya4vx3cw9wkjlccyxpp4h1hsud,0.0007328,2024-04-29_16-24-35,3060,34,40,68000.0,23,0.25,4.53,4.53,4.53,52000.0,732000.0
PULSR,PULSR,93dcmdn4fmmbsybhbusgwvpm6w55uzqz6s2bbbug29u7,0.01266,2024-04-29_16-24-35,3060,2,6,27000.0,5,0,-7.24,-7.24,-7.24,17000.0,12000000.0
There Is No Meme I Love You,ILY,hburtcnju7yzicxpcj3opy1kz9mszk7vzv7keeupqsmm,0.00009275,2024-04-29_16-24-35,3120,2028,1288,791000.0,1169,-15.83,75.18,75.18,75.18,30000.0,92000.0
WORK FOR YOUR BAGS,WORK,81phzuxr1d69b1xcjhdy6q5nquneaucmmzxd54rlejtc,0.053376,2024-04-29_16-24-35,3360,27,9,421.0,5,2.95,22.46,22.46,22.46,61000.0,33000.0
Red Green Blue,RGB,aarjxoh7g8il548gsccpj746sp5s5ajjxnrn6tholmsq,0.001928,2024-04-29_16-24-35,3480,6614,6371,18000000.0,6572,-2.51,41.13,41.13,41.13,331000.0,192000.0
