token_address,current_price,time,age,buys,sells,volume,makers,price_change_5m,price_change_1h,price_change_6h,price_change_24h,liquidity,fdv,token_name,token_symbol,current_price_usd
4ucybovpmzsv69uiubcr9a7xmeagbszkbu5stddcvxdf,,2024-04-28_12-14-19,2m,138,13,$2.1K,138,409%,409%,409%,409%,$3.7K,$5.0K,DuneBusters,DMGB,$0.053857
83srzy6ctssf7jtqn8se275pdettiq7t1bbnfb8gacjl,,2024-04-28_12-14-19,2m,483,152,$335K,489,441%,441%,441%,441%,$54K,$310K,NinjaGoats,GOAT,$0.0003105
52etz55hibcckxakeyymvvk6aivyydxxpurgign3c9e4,,2024-04-28_12-14-19,3m,175,110,$34K,216,-48.76%,-48.76%,-48.76%,-48.76%,$16K,$28K,Mewla,MEWLA,$0.00002871
chiqvdbtayp3ixyr4rxtx9ugmbtsbs5npvwfjucexh5s,,2024-04-28_12-14-19,6m,1287,361,$2.1M,948,-29.99%,483%,483%,483%,$281K,$1.0M,Capital,CC,$0.003696
28cmsn8xasdpn1bdsvmkege2zoegkvu9bzexobd82m5u,,2024-04-28_12-14-19,9m,133,92,$23K,128,325%,628%,628%,628%,$4.6K,$6.5K,dukk,DUKK,$0.056593
6gzxzjtzgujmufjfrcc2kozbc55zvcucchv3geiyv58t,,2024-04-28_12-14-19,10m,302,424,$54K,377,-27.95%,-22.18%,-22.18%,-22.18%,$2.2K,$1.7K,cub,cub,$0.0001782
djdmyrqr2gqevy5t3pgxgnt6p2kkqpfjpxsv26gupclz,,2024-04-28_12-14-19,10m,57,12,$3.1K,39,0.82%,6.26%,6.26%,6.26%,$106K,$54K,PixelPandaCoin,PPC,$0.001371
cv1pqyzmq4czfh7ktma7qq47q3qveh4y8l2ugtvvwzru,,2024-04-28_12-14-19,12m,959,661,$343K,713,-21.59%,"5,368%","5,368%","5,368%",$29K,$136K,dogwifhat's sister,YUKI,$0.0001363
7ysn4kdq7nydw1xvef9ezcbmxts3k6chyn9qjud1rtas,,2024-04-28_12-14-19,13m,15,8,$79,16,0%,-4.23%,-4.23%,-4.23%,$3.5K,$5.7K,Game Of Meme,GOME,$0.067455
4p85aabkdwrxazngutji9ojaqqstvljy3sphna4jwhvh,,2024-04-28_12-14-19,15m,120,19,$20K,95,3.58%,7.76%,7.76%,7.76%,$951K,$495K,EmpireCat,EmpireCat,$0.0004951
9y7zjnexecpwmluwvzxn9jfyyf32cxllpn71aejpqvpo,,2024-04-28_12-14-19,16m,45,18,$5.9K,45,-0.28%,399%,399%,399%,$14K,$42K,Gtaint,Gtaint,$0.00004202
14ew6egex7yca9qrwmrrqxgmja4yp6jdnnimgdbaduxc,,2024-04-28_12-14-19,16m,96,14,$6.3K,52,7.25%,21.86%,21.86%,21.86%,$126K,$69K,Trumpwifhat,Trumpwif,$0.057068
